ds,yhat,yhat_lower,yhat_upper
2023-03-07,6605.755120811805,6318.744865791854,6839.82628534552
2023-03-08,6575.447712971161,6318.0727068677725,6824.7451327053395
2023-03-09,6631.437095411858,6360.301554895325,6892.687138613901
2023-03-10,6588.016349480599,6307.171633482573,6858.593017440175
2023-03-11,6603.80367463969,6354.290936395403,6879.154593952016
2023-03-12,6611.771096578588,6358.969382749216,6879.856676700794
2023-03-13,6642.892542704738,6373.134941900799,6903.297904575838
2023-03-14,6600.279022416917,6353.92163363778,6874.84851134143
2023-03-15,6567.172182766862,6301.560967914648,6819.883384458885
2023-03-16,6613.987001143217,6369.779357930931,6890.3247528890315
2023-03-17,6570.946503073497,6311.833685264481,6820.8832264234925
2023-03-18,6577.305397583479,6317.5937429147225,6841.076335126988
2023-03-19,6580.389932865129,6330.088334014856,6839.123982536792
2023-03-20,6602.217393892403,6338.468838549594,6848.706397769172
2023-03-21,6559.361821883391,6271.729837253908,6824.965816976094
2023-03-22,6519.380013908855,6244.346421866872,6791.396545148551
2023-03-23,6571.400392356434,6294.557610055514,6823.17421929385
2023-03-24,6520.715441530232,6248.399200921639,6774.028376090319
2023-03-25,6530.501825073931,6275.538464750877,6802.457522380959
2023-03-26,6530.760214101407,6277.126847131759,6784.205929286032
2023-03-27,6552.100650138364,6293.442101448189,6815.449344583288
2023-03-28,6510.790832301187,6243.905899193353,6778.988867938921
2023-03-29,6477.795757772865,6217.250287230531,6744.498889022216
2023-03-30,6528.464610845611,6264.404069922259,6775.154836236973
2023-03-31,6487.272425133538,6233.589506174355,6740.02637618383
2023-04-01,6473.688059162798,6231.640747232544,6744.748135194888
2023-04-02,6477.223811004531,6209.936607873877,6735.169351704581
2023-04-03,6508.0731085731195,6252.496474187939,6787.275968739871
2023-04-04,6474.9072722429955,6208.358895347908,6724.407367214504
2023-04-05,6441.863767662499,6180.973113302316,6688.581823382816
2023-04-06,6505.54125135044,6247.2590432104535,6764.048221851657
2023-04-07,6466.112927942477,6206.408861716193,6768.782029660195
2023-04-08,6491.480441135824,6243.474326504975,6749.171604444736
2023-04-09,6502.927263710003,6226.849112267744,6767.454155508554
2023-04-10,6540.728937419947,6283.668786878193,6823.241827729663
2023-04-11,6509.833703653831,6232.039950845968,6762.670237330197
2023-04-12,6488.8337122781795,6229.113797122311,6734.183327035609
2023-04-13,6547.1590397907485,6287.85951926139,6814.908160203667
2023-04-14,6513.813519756631,6238.302071418684,6767.893023489409
2023-04-15,6540.480923899756,6273.60466549501,6813.369883568778
2023-04-16,6553.290877525078,6290.720013311424,6795.4246823261665
2023-04-17,6582.633037513472,6322.374424717422,6829.373243638386
2023-04-18,6552.697403166504,6287.099501040254,6814.444875625719
2023-04-19,6526.850963753442,6271.65109054726,6792.8580716284805
2023-04-20,6591.861290822503,6312.1059715841975,6862.471840199848
2023-04-21,6545.364452996019,6281.845671296178,6809.852118631136
2023-04-22,6563.521177254998,6300.46650757775,6835.270999397029
2023-04-23,6571.75578350684,6315.621736463867,6855.831626144834
2023-04-24,6600.193366478503,6343.53807678422,6871.382519328654
2023-04-25,6564.214696387962,6312.656503063242,6818.9939330066545
2023-04-26,6527.713888411413,6266.26295178423,6796.354978356684
2023-04-27,6578.214291009365,6325.079629119962,6838.59754579496
2023-04-28,6532.988398564782,6277.397370345232,6804.075845554793
2023-04-29,6542.058710669572,6286.078912256049,6819.6030527271905
2023-04-30,6545.695454681811,6281.029196330147,6811.189791325356
2023-05-01,6547.080508586755,6275.098714932973,6820.126242375627
2023-05-02,6507.593215470587,6252.838823923596,6759.731284668722
2023-05-03,6468.197514525473,6221.098179613838,6746.188356734414
2023-05-04,6520.514758628576,6260.781456344268,6790.732405096
2023-05-05,6470.878323743054,6191.192124465128,6723.04905219972
2023-05-06,6479.4372970214845,6203.98236288363,6744.279451136607
2023-05-07,6482.797407423554,6226.130541774206,6723.776540443663
2023-05-08,6506.9253390566555,6257.760866142238,6778.367975715966
2023-05-09,6464.6732572992805,6226.733057408705,6735.246262057632
2023-05-10,6431.223599285032,6173.642261938205,6700.0119030343885
2023-05-11,6485.374690984399,6219.025212135797,6746.603043929066
2023-05-12,6441.139199789143,6197.675009253439,6704.398399785287
2023-05-13,6459.602776508016,6195.049343456858,6743.206414103454
2023-05-14,6463.709725273124,6201.789107148824,6729.212095995388
2023-05-15,6492.0562481332345,6229.415382464834,6753.860677266817
2023-05-16,6460.367445090184,6205.050966986588,6711.159177416027
2023-05-17,6429.879923995391,6164.944646099623,6693.820245894554
2023-05-18,6494.328716594143,6246.891708874894,6745.078060698377
2023-05-19,6453.733896228186,6182.551003051974,6710.704237748591
2023-05-20,6479.3483938260715,6222.317275710799,6725.733705076831
2023-05-21,6495.416007616687,6237.852324709021,6763.807994510095
2023-05-22,6529.590194723793,6298.95927228107,6798.484626844308
2023-05-23,6502.255153797561,6230.282549102208,6748.522092582398
2023-05-24,6476.865776964189,6211.395286042552,6741.052450384181
2023-05-25,6545.442263656997,6269.627944941284,6804.519590994004
2023-05-26,6507.317867944985,6261.700293275443,6771.125479817768
2023-05-27,6535.5453103519485,6263.979771790461,6798.86856141525
2023-05-28,6553.244123496063,6296.403235220892,6822.539635788957
2023-05-29,6589.336481436719,6302.68543112621,6853.227635727097
2023-05-30,6564.508818229157,6280.549742496561,6815.047917656291
2023-05-31,6536.253999347938,6275.292840564113,6795.591447660329
2023-06-01,6780.439346281665,6520.848284951668,7027.5134598718
2023-06-02,6737.243101859012,6480.328848758662,6986.104076238847
2023-06-03,6761.773404052235,6504.41023674581,7020.525258179797
2023-06-04,6771.221531903934,6499.017761322591,7019.04889610718
2023-06-05,6808.011578259782,6548.041955751575,7057.311923064998
2023-06-06,6773.626323590317,6524.614891846499,7048.688578376772
2023-06-07,6757.01166044141,6486.778033318182,7028.473935644236
2023-06-08,6812.172703170128,6561.329639890516,7085.4980766691615
2023-06-09,6770.942374794463,6517.927394020005,7054.628080543736
2023-06-10,6786.651419720905,6528.14661086174,7047.795526067817
2023-06-11,6799.946283112363,6534.579146885047,7076.234406531003
2023-06-12,6828.01731821347,6558.506230521004,7083.302919111588
2023-06-13,6798.918487001824,6528.366183480108,7058.683752479126
2023-06-14,6761.29522995987,6510.4379162007235,7031.511722458301
2023-06-15,6817.588494651167,6569.785781754191,7105.641454591043
2023-06-16,6772.064483422998,6503.364415116041,7033.80951340993
2023-06-17,6788.8388242512765,6538.440003141916,7057.394640717134
2023-06-18,6797.672021078268,6513.300738946129,7067.3964568785295
2023-06-19,6809.132780405293,6552.581485471146,7079.014102963686
2023-06-20,6781.5451484692485,6523.117805249879,7061.332298447038
2023-06-21,6742.496945470074,6496.266767496488,6982.490362548097
2023-06-22,6810.383545019299,6562.027803148628,7083.003225515161
2023-06-23,6750.456315155715,6495.033023575712,7025.289773713374
2023-06-24,6761.693388171213,6517.7976797157935,7037.425685136087
2023-06-25,6769.407778694407,6503.975858275166,7046.941494583713
2023-06-26,6788.08795751462,6540.450132962638,7072.371862818001
2023-06-27,6750.579013443026,6504.850708600552,6983.3633903046675
2023-06-28,6713.597645447241,6466.0920737256065,6981.910322022303
2023-06-29,6760.979400625003,6495.813676833141,6993.55650903091
2023-06-30,6707.3953006633965,6438.971387355099,6955.470539199312
2023-07-01,6743.262407701488,6507.2876246691,6999.387883229035
2023-07-02,6736.573319465176,6475.137703271027,6992.320443779162
2023-07-03,6763.839396645266,6512.561842378165,7031.8968088191
2023-07-04,6723.179245464649,6483.242582725614,7024.963963830751
2023-07-05,6688.34943812226,6420.458105157736,6946.235479841567
2023-07-06,6732.905303937196,6484.473319687986,6994.412185719153
2023-07-07,6695.50960672068,6419.734666726381,6952.478551732637
2023-07-08,6708.170861942847,6449.7967421251915,6960.529294484693
2023-07-09,6715.562521652959,6451.444966321227,6964.252118562122
2023-07-10,6740.566056029445,6477.4718779510895,7008.018327222601
2023-07-11,6705.769746197335,6436.58705975845,6988.79798568945
2023-07-12,6663.701290404481,6398.724124476767,6932.671613963068
2023-07-13,6726.8434355009595,6469.123893565175,6980.304817769581
2023-07-14,6681.253920464291,6425.463045147449,6944.862419594718
2023-07-15,6703.355379612666,6441.066703356069,6957.1983559117225
2023-07-16,6704.830905772687,6433.373551995511,6964.7408226204925
2023-07-17,6733.623527615609,6453.778302306118,6997.039219248253
2023-07-18,6703.933043378693,6441.997978292779,6952.910579526153
2023-07-19,6677.917432369112,6420.881037309105,6952.475124700039
2023-07-20,6736.558626460363,6478.826395901105,6990.987860566334
2023-07-21,6706.055011414871,6454.660746782554,6980.5261913956565
2023-07-22,6728.841519135004,6484.4295449370165,6991.992587486493
2023-07-23,6734.80985463511,6456.3346668969525,6997.096563587787
2023-07-24,6774.530021250604,6503.311185316108,7031.667210974599
2023-07-25,6741.369707080327,6454.049867123103,6988.653794059173
2023-07-26,6718.2804222628665,6461.617975046692,6958.90343305653
2023-07-27,6789.936703992495,6514.688367118989,7067.352914532263
2023-07-28,6743.653815166939,6466.738853687021,7004.392095206784
2023-07-29,6769.704858118819,6520.998204354852,7035.960141745232
2023-07-30,6789.019748635584,6533.063084260037,7049.020608949082
2023-07-31,6820.2065449542615,6570.586637895593,7082.949514768096
2023-08-01,6798.63063591697,6525.487039631573,7066.207004932209
2023-08-02,6767.936753965125,6501.122521352427,7018.755044594126
2023-08-03,6827.867138084205,6563.700171007248,7079.878835772129
2023-08-04,6789.318184539055,6514.766734661479,7059.069183792534
2023-08-05,6808.628701281954,6530.325602738437,7070.993257581493
2023-08-06,6815.384810306363,6569.62791517462,7083.965945799329
2023-08-07,6847.356890473983,6598.592768348498,7115.118446323247
2023-08-08,6809.557546931219,6565.300962219273,7085.01581182879
2023-08-09,6779.888719126704,6522.524190581562,7061.180437625192
2023-08-10,6832.30696200742,6573.437123540307,7088.971664114841
2023-08-11,6795.577377188329,6522.783658099983,7060.741568686608
2023-08-12,6807.219811861512,6560.547453644578,7073.1358654959995
2023-08-13,6810.100259305257,6551.989855898056,7080.349155032565
2023-08-14,6834.886097654311,6589.678736694135,7108.632968074709
2023-08-15,6798.888261515065,6540.728540183946,7053.6531463174415
2023-08-16,6763.115910301852,6485.118008905034,7021.377978460818
2023-08-17,6819.270282441429,6570.474656879736,7071.436621836826
2023-08-18,6759.3691629759,6483.81101716656,7038.772023125014
2023-08-19,6790.6967777259115,6522.4413503857995,7060.088565383131
2023-08-20,6790.016751664299,6531.8475760315705,7058.004470591061
2023-08-21,6810.724589158689,6543.088063386671,7071.052122539903
2023-08-22,6771.835850404487,6520.967479412575,7044.44036715402
2023-08-23,6728.442957657051,6463.611337680951,6988.564833303841
2023-08-24,6787.838367232779,6501.989107487538,7041.459210412773
2023-08-25,6739.9844658304655,6479.060234899101,7005.008585879338
2023-08-26,6753.284313247598,6497.644991415899,7022.101909848507
2023-08-27,6757.610716162019,6498.894552267695,7005.2318716098935
2023-08-28,6780.263291946196,6519.148016955949,7042.0572574546795
2023-08-29,6748.2980848778725,6481.3730258812175,7002.538374548373
2023-08-30,6716.6171468859975,6458.575323844137,6992.7874687655385
2023-08-31,6764.442673227093,6498.603427656237,7028.370978557782
2023-09-01,6722.711562977191,6448.97300983256,6989.302273668764
2023-09-02,6747.770848604426,6484.877968833304,7012.4631175588565
2023-09-03,6751.831860201214,6501.724613835939,7014.64515754528
2023-09-04,6775.4473451842705,6525.6480883518525,7051.442072669785
2023-09-05,6733.16789810017,6456.986512039866,7003.6122157324035
