date,actual,forecast,lower_95,upper_95,prophet_forecast,xgb_forecast
2024-10-13,7.266211917514705,7.713080406188965,6.556118488311768,8.870041847229004,7.205164943778163,7.7130804
2024-10-20,5.813115342610183,6.421083927154541,5.457921504974365,7.384246349334717,5.857810507928482,6.421084
2024-10-27,5.532010347783811,5.633676528930664,4.788625240325928,6.4787278175354,5.204320128903741,5.6336765
2024-11-03,5.513538504314909,5.465827941894531,4.64595365524292,6.285702228546143,5.29408747147632,5.465828
2024-11-10,5.595344129941261,5.665612697601318,4.815771102905273,6.515454292297363,5.588941385865971,5.6656127
2024-11-17,5.714441126205494,5.903346538543701,5.0178446769714355,6.788848400115967,5.730394335538292,5.9033465
2024-11-24,5.898897410448122,5.745299816131592,4.883504867553711,6.607094764709473,5.577940662799714,5.7453
2024-12-01,6.050604598814135,6.062820911407471,5.153398036956787,6.972243785858154,5.826257244423209,6.062821
2024-12-08,6.90891714864232,6.773928642272949,5.757839679718018,7.790017604827881,6.771669939230943,6.7739286
2024-12-15,7.806636836694868,7.580787658691406,6.44366979598999,8.71790599822998,7.986243530503373,7.5807877
2024-12-22,8.703673635026721,8.419867515563965,7.156887531280518,9.682847023010254,8.624168603478697,8.4198675
2024-12-29,8.876015856915645,8.921181678771973,7.583004474639893,10.259358406066895,8.623783494036985,8.921182
2025-01-05,9.048357967568748,8.958029747009277,7.614325523376465,10.30173397064209,8.693777652872878,8.95803
